App ID,Review,Voted Up,FILE_DATE
730,dont do it,neg,2023-09-24
730,BUFF CT SIDED WEAPONS PEN DAMAGE I SHOOT A DUDE THROUGH A CENTIMETRE THICK WALL AND HE TAKES 3 DAMAGE PLEASE FIX,neg,2023-09-24
730,i have brain damage,neg,2023-09-24
730,full of russian how ask about my mother,neg,2023-09-24
730,no,neg,2023-09-24
730,too easy had every achievement in about 100 hours,neg,2023-09-24
730,This game has turned me into a monster I have become a racist ever since I started playing it almost sold my whole family just so I could afford a knife help me,neg,2023-09-24
730,needs selected regoin matchmaking becaue of large langauge barriers,neg,2023-09-24
730,L to many cheater,neg,2023-09-24
730,valve can u make a new report for thrower please im lose many time cause of this thrower,neg,2023-09-24
730,This is where my gambling addiction began,neg,2023-09-24
730,didnt get invite to cs2 even after 10 years in the game,neg,2023-09-24
730,not my style of game mostly,neg,2023-09-24
730,Idiotic game that turns everyone into raging AHoles CSGO ruined CS,neg,2023-09-24
730,this is the best game ever,neg,2023-09-24
1716740,Lackluster and immersion breaking The universe is barren and empty this game shouldnt be Modders will have to fix this one big time,neg,2023-09-24
1716740,This game is empty shallow boringI am no longer looking forward to ES6,neg,2023-09-24
1716740,Wait a few more years when there is more content added to the game and bugs are fixed Look how long it took Cyberpunk and NMS to get right Same applies to this game sadly,neg,2023-09-24
1716740,As a long time Bethesda fan I was rather disappointed with this game There is a lot of game here and a lot of different main and side quests The ship building and base building are fun but get boring after a while The whole space battle aspect is quite empty and boring where I try to stay out of the ship as much as possible Not sure why they thought they needed as many planets as they do most of them are you just running around an empty planet for a couple hours trying to find something to do I feel like the worst part is the lack of exploration needed to complete the game In Skyrim you need to physically go to the location before you can teleport there which most times youll find a cave or a  town to explore and get distracted by But in this game its you get the questteleport to the shipteleport to the quest locationkill the 20 guys in the building and then reverse the whole thing to go back The amount of time you spend in loading screens is crazy considering how fast they load On the positive side the characters and backstorys are well done in this game There is a huge assortment of guns and armor The gunplay overall is pretty great in comparison to fallout But the game was a pretty big letdown from the kings at Bethesda Would only recommend if you get it for free,neg,2023-09-24
1716740,A mostly fun game filled to the brim with bugs and technical issues After finally finishing my first playthrough I cant help but feel a little disappointed The exploration in this game is terrible I do not think that I found any new location while free roaming after the first 1015 hours A majority of the locations are tied to quest lines which is really unfortunate Will gladly jump back in for another go after some patches and DLC comes out but for now I am glad my time is done,neg,2023-09-24
1716740,garbage,neg,2023-09-24
1716740,Very little explanation for systems within the game Also found it to be very boring early on,neg,2023-09-24
1716740,With how this has turned out im really really scared how TES6 will turn out Not to mention the remaster of oblivion,neg,2023-09-24
1716740,About 18 hours into the game Starfield started crashing every 510 minutes Its completely unplayable at this point I have an RTX 3080 clean driver install and I reinstalled the game Nothing works Total garbage,neg,2023-09-24
1716740,look dont get me wrong i like the game i think its cool and all that but HOLY FUCK ITS STANDING SIM I CANT EVEN WALK FOR 2 MINS WITHOUT NEEDING TO STOP AND CATCH MY BREATH LIKE WHAT THE FUCK IS THIS SHIT WE LIVING IN LIKE 3000 AND YOU CANT WALK A GOD DAMN BLOCK WITHOUT NEEDING TO STOP AND CATCH YOUR BREATH PLEASE FUCKING REMOVE OR AT LEAST FIX THIS STUPID ASS SHIT,neg,2023-09-24
1086940,Game crashes on Launch its been running fine for the nearly 80 hours ive played and suddenly it wont even run Not sure if the Update ruined something or what but its pretty upsetting that im not allowed to play the game anymore,neg,2023-09-24
1086940,Seems like it could be a great game Their were no bugs from what I could tell the graphics are good and the music is great Despite these things the beginning is too tough to draw you in and the mechanics are silly Long rest to use spells and skills again No thank you I was expecting something closer to Divinity 2 and was disappointed,neg,2023-09-24
1086940,sdgh,neg,2023-09-24
1086940,Doesnt work on steam deck without a keyboard,neg,2023-09-24
1086940,Gustav Dev error makes multiplayer unusable Destroyed my own single player game trying to make it work Uninstalled,neg,2023-09-24
1086940,Utter Shte Game corrupts when you talk to traders Error 516,neg,2023-09-24
1086940,My game keeps crashing  All my monitors turn off and I have to force reset,neg,2023-09-24
1086940,This game is very mediocre It doesnt do anything special at all 610 at best Uninteresting characters sloppy writingstory and uninteresting lore imo Just because a game isnt full of microtransactions doesnt make it great Also the game feels unfinished and rushed in act 3 The characters are all horny as hell Lae zel will want to f your character after 2 minutes of talking to her Even the Mind flayer Emperor whos technically soulless wants to fuck your character  Definitely the most mediocre game ever made If all you care about is visuals then this is the best looking CRPG of all time  Ive not got much experience with CRPGs but Ive played 3 including BG3 and this is probably the worst one Expeditions Rome is a far better CRPG than this CRPG in combatgameplay story writing characters and world buidling Id recommend that game over this one if BG3 dissapoints you,neg,2023-09-24
1086940,nah,neg,2023-09-24
1086940,Not fun feels like playing DD with a mean and hateful GM,neg,2023-09-24
1086940,Dice rolling simulator,neg,2023-09-24
