review,voted_up
It's good.,True
Straight banger. Definitely going to interrupt my end of semester projects tho.,True
.,True
Top tier RPG - must play game!,True
"Gorgeous locations, amazing characters, magic, mischief and more. I purchased this game on almost day one in 2020 and I can't wait to see the finished game. If you've ever wondered what D&D is all about you should play this game.",True
This is the future,True
"The game of the year, certainly?",True
"First review ever. This is as big as the BG saga was 20 years ago. Just play it, Larian is just what any game developer should strive to be <3",True
"I killed the entire druid faction because I accidentally stole their holy idol... the tieflings love me now. I also accidentally killed a certain boss that my friend was hyping up for hours by using psionic pull to throw them into the abyss.

Just an absolute joy to play. 10/10",True
"Great game, excited for the full release",True
A1,True
Fun gaem.,True
dude just play the game,True
The care that has obviously gone into this game is unmatched.  The depth and agency allowed to the player is something that only comes along every once in a while.  Very rarely do games go out of their way to encourage creativity that Baldur's Gate 3 allows.,True
i have full confidence this will be the greatest RPG ever made,True
Best rpg out there.,True
Already great,True
Just solid all around so far. Looking forward to the full game.,True
Are you a forever DM? Tired of always having you campaigns hastily being put together. Want to be a murder hobo and regret nothing and be surrounded by only animals and your inner demons. well here is your chance to be the player you always wanted to be and experience the most well thought out story. even in early access I replayed the area with 4 different classes/races and got totally different experiences when even making similar choices.,True
"AAA Developers are ashamed of this game because it's a passion project by some of the most dedicated devs in the industry. This game takes a massive crap of excellence all over their attempts to entertain us with lifeless, mediocre husks. Games that provide such a plethora of meaningful decisions, world building, amazing combat, character progression, story telling, and dense exploration come by rarely anymore. Such an ambitious endeavor that deserves the attention it's getting. RPGs don't need to be just like Baldur's Gate III, but there's something for everyone to learn from Baldur's Gate III.",True
No preloading for a 122GB game. Feels bad to live rural and have slow internet. So much for playing on release day.,False
"I made the unfortunate decision of purchasing this game in early access, I spent hour attempting to enjoy it but could never really find much fun. The worst part however is I purchased this game before any of the awful things that I am sure people are aware of were added, knowing how despicable the developers are I would be willing to pay $60 to steam or another company for a refund just to keep my money out of Larian's hands. Even if you enjoy D&D I would recommend looking elsewhere for a game. This whole situation has taught me never to get games in early access. I would recommend that people spend their money somewhere else.",False
