review,voted_up
"Nice game, just as good as the first but probably a bit easier than first game.  Playing on veteran in team of 2 and the bosses are fairly easy compared to last game.",True
"The game is great and its certainly an upgrade from the first one; adding classes, a whole lot more of equipment allowing build variety, new ways to implement secrets, and complex map designs with verticality!
However some cons i've found in comparison to its predecessor is elite enemies seem to only spawn in occasionally instead of being preloaded into the world, there very little interaction within Ward 13 and the story overall well.... was just ""go fetch the segments, anomaly.""
Regardless of all this, i enjoy the game and this review is only after a single playthrough of the campaign, so opinion may change!",True
"fuN AND FULL OF PUZZLING LEVELS, HOPE YOUR CREATIVE",True
kinda gives Destiny/Dark souls vibes. Pretty fun game with diffrent maps and choices,True
Bloodbourne w guns,True
"Take outriders, make it repayable with near perfect co-op, now add some crazy cool environments and you've got Remnant 2. This is gonna be my top game for a while.",True
"Its like the first game but with SO much more. If you liked the first game then this is a no brainer, if you didn't play the first then this is still a great place to start",True
This is a great game.  You wont be disappointed in this purchase,True
I love it!!!!,True
This game makes me want to hang myself,True
yes,True
"Good gunplay, harder than the first game but not unfair. Dual archtyping and 4 rings give a lot more customization options for builds (hopefully they'll add loadouts though as changing them can be cumbersome). Definately worth the purchase, even more so once they patch out some of the progression bugs currently holding it back from being a 10/10 to a 9/10.",True
"Great game play and amazing replay-ability. The archetype system is awesome and the games is full of entertaining secrets that are normally very rewarding. the variety of armor and weapons is great and definitely better than the first although they are not always easy to find. You can no longer upgrade armor and there are no longer really any bonuses to wearing a complete set, but they make up for it pretty well with the variety of relics, amulets, rings, and traits. My main gripe is that weapons are mostly hard to find, if you aren't finding secrets you aren't finding many new weapons or armor, but you will have like 50 rings at the end of your first play-through if you don't explore much.",True
guud game,True
"This is a great game except for one huge Caveat the last boss is utter garbage i did not buy Remnant to play a rythym game which is what the last boss is which is not what i Bought. through the whole game you did not need to make the boss's into rythym fights to be hard and then the last boss is just utter trash i was originally looking forward to replaying this game many times now i have no desire as i have no desire to ever do the last boss again. so in essence:
ENTIRE GAME OTHER THAN LAST BOSS 100% GAME OF THE YEAR
LAST BOSS: UTTER TRASH whoever designed should be fired",True
"Made a hard core character with friends, got to lvl 5, died in Yeasha by falling off a tree root bridge with bad geometry.
Made another hardcore character, died to one shot boss mechanic.
Made another hardcore character, fell through an elevator while emoting and died.
Made another hardcore character, (discovered dual class is a thing this time) got to the Labrynthe with a friend - went through a teleport gate. The teleport gate was a trap and the platform you land on falls out underneath both of us. We both died. Almost vomited from laughing so hard.

12/10 game will play again.",True
gud,True
best coop shooter man has ever witnessed in this feckless lifetime,True
I NEED TO GET ARCHON,True
"This game is caked up for Co-op. Get you a friendo or 2 and have a blast. This game rocks for duos, I really enjoy alot of the exploration and stuff with another homie having your back. Singleplayer is also fine too, but it feels a bit less exciting.",True
"At the hour and a half mark, I'm stuck at a specific room because it would crash me every time I load in. Game breaking bug for some, I guess I'm just unfortunate enough to experience it as my first Remnant game.",False
"If you can get the game to load without the UR engine crashing, load into your game without it crashing, and joining your friend's game without it crashing, then you are lucky. I have an RTX 3070 TI, with a 13th gen i9-13900KF 3.00 GHz processor, with a liquid cooling system. I played Remnant: From The Ashes twice, once on Xbox, then again on pc when I converted, with literally hundreds of hours. It is so unfortunate that this game is so poorly optimized. Had a blast the first night playing with my friend until the first crash a couple of hours in. Now it is unplayable with my friend(who also has a worse rig than I do, and has had it crash once). Every time you move to a different area, crashes. Lowered to the lowest settings, tried different launch options, and tried overclocking/under-volting, but nothing has fixed it. Literally never launches on the first try. If you're lucky, 1 out of 10 times will launch. Until they put a patch out to fix this, I can't recommend this game. I have never had any problems with any other games I have tried on this PC that I got for Christmas, and I understand 3070 is far from the top of the line, but also far from the bottom.",False
dark souls with guns 2,False
