review,voted_up
,True
"⠀⠠⠐⠈⢀⠈⠠⠀⠄⠂⠈⡀⢈⠀⠠⠀⠂⢀⠐⠈⠐⠨⣊⠎⠌⠌⠈⠠⠐⡌⡦⢏⢪⠢⡃⡎⡐⡀⠄⢀⠈⠠⠐⠀⢁⠀⠂⡀⠂⠐⠈⡀⠄⠐⠈⢀⠠⠐⠈⡀
⠀⠂⠐⠈⢀⠀⠂⡀⠂⡀⢁⠀⠄⠐⠀⠂⠈⢀⠠⠈⢀⠁⠱⡀⠁⠊⠀⢂⠡⡪⡺⣺⡟⣕⣵⢇⢢⠂⠠⠀⠐⠀⠂⠁⡀⠄⠂⠀⠄⢁⠠⠀⠄⠂⠁⡀⠄⠂⠁⡀
⠀⠂⠈⢀⠠⠀⠂⠀⠄⠀⠄⢀⠐⢀⠈⡀⠁⡀⠄⠐⠀⠐⠀⠠⠈⡀⠅⡢⡣⡣⣫⢿⣻⣗⣽⣗⢼⡨⡐⡈⠀⡁⢀⠁⡀⠄⠈⠠⠐⠀⠠⠐⠀⠂⢁⠠⠐⠀⢁⠀
⠀⠄⠁⢀⠀⠄⠂⠁⠀⠂⠠⠀⠄⠀⠄⠠⠀⠄⠐⠀⡁⠄⠡⢐⡰⡴⣽⣺⡪⣞⡮⣿⣻⣗⣿⣺⢽⢮⠋⣀⡅⣐⣀⢀⠂⠐⡈⠄⠂⠡⠀⠂⢁⠈⢀⠠⠐⠈⢀⠀
⠀⢀⠈⠀⢀⠠⠐⠈⠀⠂⠀⠂⠀⢂⠐⣀⣆⣬⢤⢥⡢⣎⢏⢯⡾⣟⣯⡿⡃⣗⣟⢾⣳⣗⡧⣻⣿⢽⠸⣚⢎⠿⢝⢕⡬⠀⠂⠀⠁⠀⠁⠨⠀⠄⠠⠀⠐⠈⡀⠀
⠀⠀⠄⠈⠀⢀⠠⠀⠁⡀⠁⠠⢁⡴⣟⣯⣿⣿⣿⣿⣻⢮⢯⣞⣮⡯⣗⣽⡞⢞⡾⡝⡓⠯⠕⠳⠊⢍⡁⡄⡁⠅⢁⠡⢐⣨⣰⢵⣵⣕⢥⠠⠁⠄⠂⠈⠀⠂⠀⠂
⠀⠐⠀⡀⠁⢀⠀⠠⠀⠀⠄⢁⣲⡫⣷⣻⣯⣿⣿⢽⢪⡫⡯⣞⢇⠏⢟⣂⣫⣥⣵⡶⣾⣻⣻⣗⣧⣵⣛⠿⣝⢽⡪⡺⡽⣞⣿⣿⣻⡾⡵⡍⡂⡐⠀⠁⢈⠀⡈⠀
⠀⠀⠂⠀⠠⠀⠠⠀⠂⠐⢈⢰⡯⣺⣳⣿⣻⡷⡯⡣⡃⡧⢭⢤⢲⢝⢯⣟⣽⣞⣷⣻⣗⣿⣺⡳⡳⣝⢮⢳⢥⣁⠳⡑⡝⣵⣻⢽⣯⣟⡜⣎⢵⠀⠄⠁⢀⠀⠠⠀
⠀⠀⠂⠀⠄⠐⠀⠠⠐⠀⡐⣼⢏⣞⣞⢷⢏⣗⡧⣗⣯⢯⣳⡽⡽⡽⡵⣿⣺⣺⣿⣺⣳⣳⣳⢽⣝⡮⣯⣗⢷⢵⣝⢦⡣⡣⡣⡻⣺⡺⣜⢜⢼⡊⠠⠈⠀⠠⠐⠀
⠀⠀⠐⠀⠀⠠⠀⠄⠀⠐⡀⢯⢣⡳⣝⣵⡻⣪⢿⣽⡽⣯⣷⣿⡯⡿⡽⣽⣺⣺⢾⣻⣺⢾⣺⣳⢷⣻⣷⣯⢿⣻⢾⡝⡮⡳⡱⡕⡕⡝⡜⡜⣽⢊⠠⠀⠁⠠⠐⠀
⠀⠀⠄⠐⠀⠀⡀⠠⠀⢁⢸⡸⡸⣘⣞⠥⠷⡕⡟⣞⣟⣯⣿⡽⣯⢿⢽⣳⢳⡝⣯⣷⣫⢟⡮⣿⣽⣯⣟⣯⣿⣻⣽⡺⡜⢌⠬⢪⣕⠕⣅⠣⢻⠠⠀⠐⠈⠀⠠⠀
⠀⠀⠀⡀⠀⠄⠀⠀⡀⢂⡾⡱⡘⣼⡫⡪⡸⡸⣪⣗⣯⡿⣞⣿⢽⢯⣻⡪⣗⣝⢿⢕⣗⢽⣝⣗⣿⢾⡽⣾⣳⢿⣺⣕⢕⢅⢇⢅⢿⢈⠂⢕⢌⢅⠌⠀⠂⠁⠀⠄
⠀⠀⠁⠀⠀⠀⠄⠠⠠⣝⠢⡃⠄⢽⣪⢳⢝⣞⣵⡳⣗⣿⣻⢞⡿⣝⢮⣫⡺⣜⡽⣵⢳⢳⢕⣗⡯⣯⣻⢽⣞⡯⣷⡳⣝⢎⡎⡎⡾⠐⢐⠡⠨⡊⡢⠣⠬⡀⠂⠀
⠀⠀⠀⠄⠈⢠⡞⡊⠆⠅⡊⠄⠄⡊⢮⡳⣹⡪⡮⡯⣳⡳⡽⣝⢞⢵⢝⢜⢜⡮⣟⢾⡽⡸⡱⡪⡺⡜⡮⡳⡳⣝⢮⢫⡪⡣⡣⡳⠡⠡⢑⢈⢂⢂⢊⠢⡡⠱⠀⠁
⠀⠀⢀⠠⠈⡜⡐⡡⠡⡑⠨⠨⢐⠐⡠⡙⠲⡱⢕⢝⢜⢎⢇⠗⢝⢘⢌⣮⡳⡯⣗⢗⣯⢷⢬⢘⢘⠜⢜⢪⢣⢣⢳⢱⢱⠱⠩⡐⠨⠨⠐⢄⢑⢐⠅⢅⠊⢌⠠⡁
⠀⠀⠀⢄⠫⡐⡐⡐⠡⠂⢅⠑⠔⡐⠔⡈⠌⡬⡢⣅⣅⣌⡐⡌⡆⣗⡽⡮⡯⡯⢮⡳⡽⡽⡽⡱⡕⣌⡢⠤⣡⠨⡢⡱⠐⠅⠇⢊⣈⠨⢈⠢⠨⡂⠪⠠⡑⡐⠌⢺
⠀⣀⢣⢘⠌⡐⡐⡨⠨⠨⠐⡈⠈⡀⡂⢀⠈⡀⠈⠂⡔⣐⢍⡑⣌⢢⠫⡎⡯⡮⣣⢳⢽⢝⢕⠗⢟⠫⡍⣍⢆⢍⢢⠢⡑⠑⠀⠀⠪⡲⡄⢈⠢⠨⢊⠌⡢⠨⠪⡐
⠀⣜⠜⠐⡐⡐⠌⢄⢑⠈⠠⢀⢪⢂⠐⠀⠀⡂⠠⠀⣇⣓⢲⢸⢸⢪⢎⢎⢎⢇⢇⢗⡳⡑⡵⣽⣻⣟⡯⡮⡣⣫⢪⢪⠊⠀⠀⠄⠀⢇⠇⡂⠄⡑⡐⢅⠢⠡⠡⡓
⠀⠐⠅⠅⡂⠌⢌⢂⠂⠌⠌⡢⡂⠐⠀⠀⡐⠀⠄⠀⢱⡪⣪⢪⢪⢪⢳⢯⣮⢣⢳⡱⣪⢮⣻⣿⣽⢽⡺⡸⣪⡺⡸⡈⠀⠠⠀⠐⠀⠐⢐⠠⢁⢂⠢⠡⡨⠨⢂⠪
⠀⠈⠌⡐⠄⡑⠅⡂⠅⠅⢅⠘⠠⠀⠐⠠⠂⠐⠀⡁⠀⢣⢳⡱⣊⢽⣮⡫⡯⣷⢱⢹⢪⢗⣯⣷⢿⢕⢯⢝⡎⡎⣞⠀⠀⠂⡀⢁⠀⠁⠀⠌⡐⠄⠅⢕⠨⠨⠠⢁",True
حلوه,True
I love DMZ,True
Great Game for some great memories with the squad. If you like raging be sure to check out their free edition of warzone!,True
It's a GREAT game! It was a little buggy when it first came out but after time it got better. The new maps that were added are great! However i dont really like that they keep nerfing Guns,True
Por lo general juego multijugador pero en la ultima temporada los modos de juego del battle royal son muy buenos,True
DFDASADAS,True
good call of duty game. pace is more realistic and graphics are really nice for pc,True
good,True
